Leuconostoc pseudomesenteroides
Citrobacter sp.
Moraxella catarrhalis
MAG: Xylanibacter
Bacillus paralicheniformis
Peribacillus frigoritolerans
MAG: Turicimonas
Coxiella burnetii
Aggregatibacter actinomycetemcomitans
Serratia sp.
Shigella boydii
Akkermansia muciniphila
Leuconostoc mesenteroides
Prevotella copri
Deinococcus radiotolerans
Bartonella quintana
Planococcus maritimus
Leptospira alexanderi
Bacillus velezensis
Escherichia sp.
[Clostridium] scindens
Leucobacter luti
Acinetobacter cumulans
Micromonospora craniellae
Lactococcus formosensis
Klebsiella oxytoca
Enterococcus lactis
Marivita cryptomonadis
Bordetella genomosp.
Staphylococcus argenteus
Citrobacter amalonaticus
Deinococcus actinosclerus
Calothrix sp.
Pectobacterium polaris
Dolichospermum compactum
Corynebacterium pseudodiphtheriticum
Acinetobacter variabilis
Raoultella sp.
Phaeobacter italicus
Glycomyces harbinensis
Bradyrhizobium diazoefficiens
Fusobacterium polymorphum
Corynebacterium spheniscorum
Methylibium petroleiphilum
Mucilaginibacter gilvus
Clostridium perfringens
Vibrio gigantis
Paraburkholderia mimosarum
Sphingobium abikonense
Agrobacterium rhizogenes
MAG: Alistipes
Yersinia enterocolitica
Campylobacter fetus
Schaedlerella arabinosiphila
Bradyrhizobium symbiodeficiens
Mesomycoplasma hyopneumoniae
Helicobacter suis
Aquitalea denitrificans
Faecalibacterium prausnitzii
Parabacteroides distasonis
Clostridium sp.
Coxiella endosymbiont
Paraburkholderia phenazinium
Staphylococcus nepalensis
Collinsella sp.
Serratia entomophila
Bacteroides thetaiotaomicron
Bifidobacterium animalis
Mycolicibacterium pallens
Blautia marasmi
Aliivibrio finisterrensis
Candidatus Carsonella
Porphyrobacter sp.
Burkholderia sp.
Staphylococcus auricularis
Streptococcus equi
Sphaerochaeta halotolerans
Ligilactobacillus salivarius
Acidithiobacillus sp.
Kerstersia gyiorum
Pseudomonas weihenstephanensis
MAG: Porphyromonas
Rhodococcus fascians
Chlamydia muridarum
Yoonia vestfoldensis
Aquimarina agarilytica
Streptomyces albidoflavus
Blautia obeum
Actinomyces bowdenii
Peptostreptococcus canis
Bacteroides reticulotermitis
Bacillus safensis
Halomonas sp.
Flavobacterium psychrophilum
Bartonella sp.
Rhizobium sp.
Bifidobacterium breve
Marinomonas profundi
Loktanella sp.
Streptomyces triticagri
Saccharophagus sp.
Luteibacter rhizovicinus
Agrobacterium rubi
Thermoleophilum album
Pediococcus acidilactici
Bacillus mycoides
Bacteroides stercoris
Massilia glaciei
Brevibacterium oceani
Desulfamplus magnetovallimortis
Megasphaera elsdenii
Marinitoga sp.
Pseudomonas cremoricolorata
Helicobacter pullorum
Blautia producta
Amycolatopsis sp.
Lactococcus petauri
Providencia sp.
MAG: Gemella
Vibrio lentus
Amycolatopsis sulphurea
Polaribacter sp.
Yersinia pestis
Corynebacterium striatum
Xanthomonas sacchari
Campylobacter sp.
Dolichospermum sp.
Pantoea stewartii
Buchnera aphidicola
Mobiluncus curtisii
Streptococcus thermophilus
Parageobacillus thermoglucosidasius
Brevibacillus thermoruber
MAG: Bacteroides
Thomasclavelia ramosa
Cellulomonas sp.
Vibrio nigripulchritudo
Criblamydia sequanensis
Nocardia brasiliensis
Corynebacterium heidelbergense
MAG: Mogibacterium
Shewanella algae
Haemophilus parainfluenzae
Halocella sp.
Enterobacter ludwigii
Vibrio fluvialis
Lederbergia citrea
Marinobacter nauticus
Rhodococcus phenolicus
Listeria innocua
MAG: Lelliottia
Parazoarcus communis
Dermatophilus congolensis
Luteolibacter sp.
Roseovarius salinarum
Tardiphaga sp.
Vibrio paracholerae
MAG: Romboutsia
Shewanella sp.
Chlamydia avium
Dolosigranulum pigrum
Sporosarcina sp.
Acinetobacter schindleri
Clostridium chauvoei
Fulvimarina manganoxydans
