streptococcus uberis
prochlorococcus marinus
methylomonas koyamae
enhydrobacter aerosaccus
vibrio alginolyticus
rickettsia amblyommatis
thermobifida fusca
myxococcus sp
methylomonas methanica
bartonella rattimassiliensis
paraburkholderia tropica
bordetella holmesii
candidatus woesebacteria
virgibacillus sp
providencia heimbachae
citrobacter freundii
cycloclasticus sp
serratia marcescens
rhodococcus fascians
legionella pneumophila
pseudovibrio sp
clostridium botulinum
aeromicrobium marinum
microbacterium laevaniformans
terrabacter sp
enterobacter sp
flavobacterium frigoris
ehrlichia chaffeensis
lactobacillus ozensis
mycobacterium cosmeticum
tannerella forsythia
pseudoalteromonas piscicida
bartonella henselae
desulfurobacterium thermolithotrophum
kosmotoga arenicorallina
legionella spiritensis
croceicoccus naphthovorans
prevotella scopos
shuttleworthia sp
bartonella quintana
agrobacterium tumefaciens
sphingomonas sp
streptococcus mitis
actinobacillus pleuropneumoniae
mycobacterium arupense
candidatus paraburkholderia
streptococcus lutetiensis
lysobacter arseniciresistens
microbacterium sp
selenomonas sp
achromobacter arsenitoxydans
bacillus wiedmannii
photorhabdus luminescens
dissulfuribacter thermophilus
confluentimicrobium sp
candidatus sulcia
bifidobacterium longum
desulfovibrio sp
glaciecola punicea
candidatus nitrososphaera
anaerobaculum mobile
marinobacter sp
leptospira biflexa
butyrivibrio proteoclasticus
mycobacterium rhodesiae
phycicoccus sp
lysobacter sp
cyclobacterium marinum
mycobacterium immunogenum
thermoanaerobacterium xylanolyticum
gluconobacter japonicus
pseudomonas fluorescens
corynebacterium accolens
acidiphilium multivorum
herbaspirillum sp
photorhabdus temperata
lactobacillus fabifermentans
spiroplasma melliferum
calothrix sp
thermanaerothrix daxensis
rhodococcus rhodochrous
mahella australiensis
sulfurovum sp
vibrio ichthyoenteri
oblitimonas alkaliphila
lactobacillus sanfranciscensis
serratia rubidaea
desulfitobacterium hafniense
candidatus giovannonibacteria
brucella pinnipedialis
dehalococcoides mccartyi
enteractinococcus helveticum
leisingera sp
simonsiella muelleri
lactobacillus spicheri
lactobacillus mucosae
halomonas campaniensis
porphyromonas crevioricanis
oceanobacter sp
prevotella oris
natronobacterium gregoryi
campylobacter fetus
leptospira borgpetersenii
thermosulfurimonas dismutans
dokdonia sp
gordonia malaquae
burkholderia vietnamiensis
photobacterium damselae
candidatus yanofskybacteria
bacillus litoralis
paraburkholderia terrae
pseudomonas mendocina
bartonella grahamii
edwardsiella ictaluri
ochrobactrum anthropi
finegoldia magna
staphylococcus xylosus
hyphomicrobium sp
flagellimonas sp
devosia sp
bacillus licheniformis
terribacillus aidingensis
halolamina pelagica
sphingomonas taxi
brachyspira murdochii
dichelobacter nodosus
anaerotruncus sp
polaribacter reichenbachii
methanosarcina sp
ureaplasma diversum
 eubacterium
myxococcus xanthus
thermoactinomyces sp
proteus vulgaris
clostridium butyricum
thalassospira xiamenensis
yersinia intermedia
natronococcus jeotgali
lactobacillus shenzhenensis
sulfuricella sp
rhodanobacter thiooxydans
xenorhabdus bovienii
lactobacillus otakiensis
candidatus beckwithbacteria
planococcus halocryophilus
klebsiella sp
eikenella sp
xanthomonas vasicola
pseudomonas rhizosphaerae
rickettsia canadensis
capnocytophaga haemolytica
staphylococcus pasteuri
legionella drozanskii
lactobacillus murinus
mycobacterium kyorinense
zobellia galactanivorans
photobacterium sp
pseudomonas graminis
pediococcus stilesii
holospora undulata
lactobacillus sp
candidatus thiodiazotropha
nocardioides dokdonensis
enterococcus raffinosus
neisseria sp
mycoplasma ovis
methanosarcina vacuolata
ralstonia solanacearum
mycobacterium xenopi
segniliparus rotundus
brucella neotomae
desulfurococcus fermentans
elizabethkingia anophelis
bradyrhizobium paxllaeri
pluralibacter gergoviae
bacillus marisflavi
thalassobius sp
salmonella bongori
candidatus uhrbacteria
olsenella profusa
mycobacterium bovis
brevundimonas sp
helicobacter bizzozeronii
streptococcus constellatus
treponema paraluiscuniculi
mycoplasma pneumoniae
janthinobacterium sp
actinoplanes sp
 brevibacterium
pseudomonas oryzihabitans
mycobacterium mucogenicum
hapalosiphon sp
streptococcus parauberis
methylobacter tundripaludum
campylobacter ureolyticus
streptococcus oralis
candidatus tremblaya
yersinia pseudotuberculosis
chroococcidiopsis thermalis
corynebacterium uterequi
paracoccus sanguinis
candidatus portiera
anaerococcus vaginalis
corynebacterium camporealensis
nitrobacter sp
bacillus indicus
dyadobacter fermentans
vibrio kanaloae
pyrococcus kukulkanii
lyngbya sp
mycobacterium fortuitum
coxiella endosymbiont
halomonas elongata
variovorax sp
litoreibacter arenae
siansivirga zeaxanthinifaciens
weissella ceti
alcanivorax sp
lysinibacillus sp
paenibacillus glucanolyticus
gemmatimonas aurantiaca
burkholderia lata
cedecea davisae
dictyoglomus thermophilum
lactobacillus perolens
piscirickettsia salmonis
burkholderia mallei
marine group
richelia intracellularis
peptococcaceae bacterium
paenibacillus lactis
oceanicaulis sp
rhodovulum sp
staphylococcus lentus
chromobacterium violaceum
bartonella tamiae
thalassobacter sp
nesterenkonia jeotgali
staphylococcus capitis
enterobacter kobei
methanococcus aeolicus
pediococcus acidilactici
corynebacterium pseudotuberculosis
stomatobaculum longum
arcobacter nitrofigilis
berkelbacteria bacterium
chlamydia pecorum
humibacillus sp
microgenomates group
citrobacter sp
candidatus kaiserbacteria
gallibacterium genomosp
thermococcus paralvinellae
lachnospiraceae bacterium
lactobacillus hordei
salmonella enterica 1245865  
candidatus bathyarchaeota
staphylococcus hominis
dialister succinatiphilus
mobiluncus curtisii
gluconacetobacter sp
